event,timestamp,frameId,width,height,source,deviceId,label,mirrored,message
"camera:frame","2025-08-29T03:36:46.126Z","390","1280","720","device:3b1143e89b9e27de3ff0d88cf0106a165d162a7d09c00c0a49143baf98a425d1","3b1143e89b9e27de3ff0d88cf0106a165d162a7d09c00c0a49143baf98a425d1","HD Pro Webcam C920 (046d:082d)","true",""
"camera:frame","2025-08-29T03:36:46.455Z","400","1280","720","device:3b1143e89b9e27de3ff0d88cf0106a165d162a7d09c00c0a49143baf98a425d1","3b1143e89b9e27de3ff0d88cf0106a165d162a7d09c00c0a49143baf98a425d1","HD Pro Webcam C920 (046d:082d)","true",""
"camera:frame","2025-08-29T03:36:46.786Z","410","1280","720","device:3b1143e89b9e27de3ff0d88cf0106a165d162a7d09c00c0a49143baf98a425d1","3b1143e89b9e27de3ff0d88cf0106a165d162a7d09c00c0a49143baf98a425d1","HD Pro Webcam C920 (046d:082d)","true",""
"camera:frame","2025-08-29T03:36:47.116Z","420","1280","720","device:3b1143e89b9e27de3ff0d88cf0106a165d162a7d09c00c0a49143baf98a425d1","3b1143e89b9e27de3ff0d88cf0106a165d162a7d09c00c0a49143baf98a425d1","HD Pro Webcam C920 (046d:082d)","true",""
"camera:frame","2025-08-29T03:36:47.446Z","430","1280","720","device:3b1143e89b9e27de3ff0d88cf0106a165d162a7d09c00c0a49143baf98a425d1","3b1143e89b9e27de3ff0d88cf0106a165d162a7d09c00c0a49143baf98a425d1","HD Pro Webcam C920 (046d:082d)","true",""
"camera:stopped","2025-08-29T03:36:47.727Z","","","","","","","",""
"camera:params","2025-08-29T03:36:48.568Z","","640","480","device:3b1143e89b9e27de3ff0d88cf0106a165d162a7d09c00c0a49143baf98a425d1","","","",""
"camera:frame","2025-08-29T03:36:48.608Z","440","640","480","device:3b1143e89b9e27de3ff0d88cf0106a165d162a7d09c00c0a49143baf98a425d1","3b1143e89b9e27de3ff0d88cf0106a165d162a7d09c00c0a49143baf98a425d1","HD Pro Webcam C920 (046d:082d)","true",""
"camera:frame","2025-08-29T03:36:48.938Z","450","640","480","device:3b1143e89b9e27de3ff0d88cf0106a165d162a7d09c00c0a49143baf98a425d1","3b1143e89b9e27de3ff0d88cf0106a165d162a7d09c00c0a49143baf98a425d1","HD Pro Webcam C920 (046d:082d)","true",""
"camera:frame","2025-08-29T03:36:49.268Z","460","640","480","device:3b1143e89b9e27de3ff0d88cf0106a165d162a7d09c00c0a49143baf98a425d1","3b1143e89b9e27de3ff0d88cf0106a165d162a7d09c00c0a49143baf98a425d1","HD Pro Webcam C920 (046d:082d)","true",""
"camera:frame","2025-08-29T03:36:49.598Z","470","640","480","device:3b1143e89b9e27de3ff0d88cf0106a165d162a7d09c00c0a49143baf98a425d1","3b1143e89b9e27de3ff0d88cf0106a165d162a7d09c00c0a49143baf98a425d1","HD Pro Webcam C920 (046d:082d)","true",""
"camera:frame","2025-08-29T03:36:49.928Z","480","640","480","device:3b1143e89b9e27de3ff0d88cf0106a165d162a7d09c00c0a49143baf98a425d1","3b1143e89b9e27de3ff0d88cf0106a165d162a7d09c00c0a49143baf98a425d1","HD Pro Webcam C920 (046d:082d)","true",""
